machine_id,temperature,torque,tool_wear,vibration_index,anomaly_score
M_3,295.74,39.33,0.0872,0.356,0.041
M_3,297.28,39.69,0.1393,0.416,0.086
M_1,295.09,42.87,0.4536,0.625,0.3
M_3,296.43,42.68,0.1802,0.47,0.123
M_1,293.7,43.68,0.112,0.428,0.078
M_2,295.06,43.97,0.0418,0.296,0.0
M_2,292.84,43.76,0.1501,0.395,0.083
M_2,292.66,40.73,0.1958,0.53,0.151
M_3,295.75,40.51,0.1921,0.472,0.129
M_3,297.68,44.46,0.2382,0.463,0.147
M_1,296.45,40.14,0.0515,0.349,0.023
M_3,298.07,45.73,0.0741,0.437,0.064
M_1,296.99,41.6,0.0977,0.473,0.087
M_2,298.09,43.94,0.3111,0.546,0.209
M_3,300.51,42.95,0.3868,0.461,0.216
M_3,296.41,42.44,0.1208,0.347,0.053
M_2,297.77,44.85,0.2483,0.497,0.163
M_2,298.22,43.25,0.0305,0.371,0.021
M_3,298.01,42.66,0.3317,0.655,0.256
M_3,297.61,42.31,0.2157,0.471,0.139
M_3,296.34,44.15,0.0981,0.494,0.094
M_2,299.52,45.28,0.3294,0.614,0.241
M_1,299.67,44.51,0.1407,0.362,0.068
M_3,297.77,44.9,0.0532,0.374,0.032
M_2,295.27,41.72,0.1025,0.421,0.071
M_3,292.27,43.27,0.0468,0.27,0.0
M_2,300.35,42.17,0.1427,0.451,0.102
M_1,294.42,42.93,0.3231,0.574,0.224
M_2,298.38,44.05,0.1199,0.407,0.074
M_3,293.99,42.63,0.0998,0.425,0.071
M_3,302.29,44.64,0.3198,0.516,0.217
M_3,293.64,43.27,0.133,0.455,0.097
M_2,295.15,42.7,0.1906,0.493,0.136
M_3,291.24,43.04,0.1012,0.429,0.073
M_1,300.41,41.49,0.3626,0.558,0.239
M_2,294.28,41.56,0.0095,0.409,0.025
M_2,302.31,41.38,0.1413,0.465,0.119
M_1,302.53,45.3,0.5353,0.648,0.362
M_2,298.05,42.9,0.2251,0.482,0.148
M_1,298.68,44.33,0.2349,0.523,0.166
M_2,296.79,40.51,0.0563,0.458,0.063
M_1,300.0,42.23,0.2327,0.475,0.149
M_2,295.33,42.13,0.0656,0.428,0.057
M_1,296.03,42.54,0.0901,0.37,0.048
M_2,296.94,42.28,0.3931,0.671,0.289
M_2,296.72,44.05,0.1932,0.487,0.135
M_1,302.93,41.39,0.2246,0.458,0.158
M_3,297.52,42.84,0.0249,0.392,0.026
M_1,295.12,41.44,0.1095,0.496,0.1
M_3,296.2,40.19,0.251,0.473,0.156
